time, lon, lat, length, depth, penetration_depth, strength, shot1, shot2, top_sample,bot_sample, file, number,
19.723937,-88.8653,30.0868,13.4503,2.5047,18.8397,7.84E-09,683,688,54,92,C:\raw data\GM11\09-24\FL11267194303.png,6,g
19.724149,-88.8645,30.0866,10.7603,2.2869,18.9486,1.16E-08,706,710,51,86,C:\raw data\GM11\09-24\FL11267194303.png,6,g
19.725705,-88.8603,30.0857,16.1404,4.2471,19.0575,5.18E-08,873,879,61,103,C:\raw data\GM11\09-24\FL11267194303.png,6,g
19.726001,-88.8587,30.0854,53.8013,1.7424,18.513,5.69E-08,898,918,46,91,C:\raw data\GM11\09-24\FL11267194303.png,6,g
19.726529,-88.8578,30.0852,18.8304,2.9403,18.7308,6.15E-08,962,969,56,106,C:\raw data\GM11\09-24\FL11267194303.png,6,g
19.766137,-88.7388,30.0594,18.8895,3.3759,16.2261,1.42E-08,1240,1247,47,102,C:\raw data\GM11\09-24\FL11267194516.png,8,g
21.203964,-88.0001,29.321,25.5506,6.534,25.1559,6.43E-08,536,545,87,143,C:\raw data\GM11\09-24\FL11267211156.png,87,g
21.204251,-88.0001,29.3218,42.5844,10.6722,25.7004,2.46E-08,564,579,110,152,C:\raw data\GM11\09-24\FL11267211156.png,87,g
21.204724,-88.0001,29.3225,62.4571,7.4052,24.2847,6.25E-08,611,633,93,145,C:\raw data\GM11\09-24\FL11267211156.png,87,g
21.204251,-88.0001,29.3218,36.9065,9.5832,25.7004,3.26E-08,565,578,110,147,C:\raw data\GM11\09-24\FL11267211156.png,87,g
21.204714,-88.0001,29.3225,65.296,8.3853,24.2847,5.60E-08,610,633,91,140,C:\raw data\GM11\09-24\FL11267211156.png,87,g
21.205261,-88.0001,29.3249,22.7117,10.2366,24.3936,3.83E-08,676,684,115,160,C:\raw data\GM11\09-24\FL11267211156.png,87,g
21.205733,-88.0001,29.3264,31.2285,9.801,24.6114,3.65E-08,726,737,113,158,C:\raw data\GM11\09-24\FL11267211156.png,87,g
21.205973,-88.0001,29.3264,42.5844,10.0188,24.1758,3.73E-08,750,765,114,157,C:\raw data\GM11\09-24\FL11267211156.png,87,g
21.206483,-88.0001,29.328,45.4233,10.1277,24.5025,3.18E-08,804,820,118,165,C:\raw data\GM11\09-24\FL11267211156.png,87,g
21.285958,-88.0006,29.5503,27.9548,1.9602,27.5517,3.01E-07,1391,1401,39,135,C:\raw data\GM11\09-24\FL11267211623.png,91,g
21.721416,-87.499,29.6479,22.5321,22.7601,29.403,7.73E-08,425,433,233,287,C:\raw data\GM11\09-24\FL11267214303.png,115,g
21.721583,-87.499,29.6464,14.0825,18.8397,27.3339,3.79E-08,445,450,214,241,C:\raw data\GM11\09-24\FL11267214303.png,115,g
21.804873,-87.499,29.4129,25.1489,12.0879,23.7402,7.38E-08,1439,1448,139,181,C:\raw data\GM11\09-24\FL11267214729.png,119,g
3.38458,-87.9991,29.953,11.0734,21.9978,27.0072,1.05E-07,938,942,232,280,C:\raw data\GM11\09-24\FL11268032233.png,290,g
4.7969369,-88.4976,29.6546,14.8872,9.1476,29.6208,7.02E-09,1484,1489,114,145,C:\raw data\GM11\09-24\FL11268044700.png,366,g
4.797085,-88.4976,29.6554,17.8646,18.7308,29.5119,1.10E-08,1499,1505,175,225,C:\raw data\GM11\09-24\FL11268044700.png,366,g
4.8904019,-88.4969,29.9308,8.9348,5.0094,23.5224,1.40E-08,1580,1583,81,105,C:\raw data\GM11\09-24\FL11268045233.png,371,g
