time, lon, lat, length, depth, penetration_depth, strength, shot1, shot2, top_sample, bot_sample, file, number,
19.934021,-89.0029,28.9214,16.7959,1.3068,19.3842,1.60E-09,1401,1407,41,65,C:\raw data\GM11\09-25\FL11268195515.png,27,
19.934706,-89.0026,28.9191,13.9966,1.089,17.6418,6.36E-09,1476,1481,37,70,C:\raw data\GM11\09-25\FL11268195515.png,27,
19.935613,-89.0024,28.9169,19.5952,1.9602,17.8596,3.45E-09,1573,1580,37,70,C:\raw data\GM11\09-25\FL11268195515.png,27,
19.935909,-89.0023,28.9161,16.7959,1.5246,18.9486,7.46E-09,1605,1611,37,67,C:\raw data\GM11\09-25\FL11268195515.png,27,
19.936743,-89.0021,28.9138,8.3979,1.5246,20.0376,2.16E-09,1697,1700,37,68,C:\raw data\GM11\09-25\FL11268195515.png,27,
19.936965,-89.0021,28.9138,11.1973,1.5246,18.9486,1.08E-08,1720,1724,39,74,C:\raw data\GM11\09-25\FL11268195515.png,27,
19.937113,-89.0021,28.913,25.1938,1.7424,18.2952,1.61E-09,1734,1743,45,72,C:\raw data\GM11\09-25\FL11268195515.png,27,
20.670567,-89.4982,28.7389,14.3903,0.6534,19.9287,4.81E-08,955,960,45,81,C:\raw data\GM11\09-25\FL11268203942.png,67,
20.685881,-89.5069,28.7816,25.4704,3.5937,13.9392,9.68E-08,607,616,40,98,C:\raw data\GM11\09-25\FL11268204049.png,68,
20.685881,-89.5069,28.7816,22.6403,3.5937,13.8303,8.82E-08,607,615,45,97,C:\raw data\GM11\09-25\FL11268204049.png,68,
20.68601,-89.5073,28.7832,14.1502,2.7225,14.3748,4.95E-08,623,628,42,85,C:\raw data\GM11\09-25\FL11268204049.png,68,
20.68614,-89.5073,28.7832,14.1502,2.3958,13.9392,3.55E-08,637,642,46,82,C:\raw data\GM11\09-25\FL11268204049.png,68,
20.686232,-89.5074,28.784,16.9803,2.6136,13.9392,8.24E-08,646,652,43,82,C:\raw data\GM11\09-25\FL11268204049.png,68,
20.686343,-89.5074,28.784,14.1502,2.3958,14.0481,2.84E-08,659,664,46,87,C:\raw data\GM11\09-25\FL11268204049.png,68,
20.686436,-89.5074,28.784,11.3202,2.9403,13.8303,5.00E-08,669,673,46,89,C:\raw data\GM11\09-25\FL11268204049.png,68,
20.68651,-89.5074,28.784,11.3202,3.1581,13.6125,3.96E-08,677,681,41,79,C:\raw data\GM11\09-25\FL11268204049.png,68,
20.68664,-89.5076,28.7848,11.3202,2.6136,13.5036,6.48E-08,691,695,47,85,C:\raw data\GM11\09-25\FL11268204049.png,68,
20.869608,-89.94,28.9959,32.8215,5.1183,14.0481,4.26E-08,449,461,49,105,C:\raw data\GM11\09-25\FL11268205155.png,78,
20.870219,-89.9418,28.996,19.1459,4.4649,14.2659,6.74E-09,518,525,63,97,C:\raw data\GM11\09-25\FL11268205155.png,78,
20.87058,-89.9426,28.9961,19.1459,3.267,14.157,9.93E-09,557,564,64,102,C:\raw data\GM11\09-25\FL11268205155.png,78,
20.871598,-89.9453,28.9963,13.6756,3.3759,14.157,7.13E-09,668,673,63,97,C:\raw data\GM11\09-25\FL11268205155.png,78,
21.653919,-90.4993,28.7526,29.2558,2.8314,21.6711,7.82E-08,1162,1172,38,118,C:\raw data\GM11\09-25\FL11268213835.png,120,
21.717423,-90.4994,28.9385,14.593,5.2272,19.0575,3.60E-08,24,29,79,132,C:\raw data\GM11\09-25\FL11268214302.png,124,
1.3896336,-90.5011,28.669,45.6663,5.0094,24.3936,3.09E-08,1350,1367,43,108,C:\raw data\GM11\09-25\FL11269012238.png,131,
1.412095,-90.501,28.6088,10.8792,1.7424,29.403,2.18E-08,1782,1786,52,84,C:\raw data\GM11\09-25\FL11269012344.png,132,
1.6440589,-90.4515,27.9998,5.6897,23.5224,29.7297,3.01E-07,837,839,224,281,C:\raw data\GM11\09-25\FL11269013811.png,145,
1.7909739,-90.002,28.0236,11.3956,0.7623,29.7297,1.35E-08,704,708,48,68,C:\raw data\GM11\09-25\FL11269014704.png,153,
2.0247803,-89.9986,28.711,21.0162,3.267,24.8292,8.43E-08,1956,1963,57,123,C:\raw data\GM11\09-25\FL11269020024.png,165,
2.047075,-89.9986,28.7785,12.0222,7.4052,21.9978,1.26E-07,365,369,101,140,C:\raw data\GM11\09-25\FL11269020238.png,167,
2.1172272,-89.9948,28.989,45.49,1.4157,15.4638,6.04E-08,1937,1952,42,130,C:\raw data\GM11\09-25\FL11269020558.png,170,keyhole
2.1181992,-89.9931,28.991,25.4948,5.9895,15.4638,2.09E-08,45,54,62,107,C:\raw data\GM11\09-25\FL11269020704.png,171,
2.1184214,-89.9924,28.9916,42.4913,2.7225,15.3549,9.78E-09,66,81,71,110,C:\raw data\GM11\09-25\FL11269020704.png,171,
2.1192547,-89.9903,28.9932,25.4948,1.5246,15.3549,3.52E-08,159,168,60,108,C:\raw data\GM11\09-25\FL11269020704.png,171,
2.1255783,-89.9712,28.9962,33.9931,0.9801,15.3549,1.54E-07,840,852,50,117,C:\raw data\GM11\09-25\FL11269020704.png,171,keyhole
2.1258006,-89.9695,28.996,53.8223,0.3267,15.3549,6.64E-08,861,880,46,121,C:\raw data\GM11\09-25\FL11269020704.png,171,keyhole
2.1407625,-89.9221,28.9906,17.2417,4.7916,14.2659,1.15E-08,483,489,42,90,C:\raw data\GM11\09-25\FL11269020811.png,172,
2.1440028,-89.9103,28.9897,14.3681,9.1476,14.4837,1.15E-08,834,839,126,150,C:\raw data\GM11\09-25\FL11269020811.png,172,
2.2448286,-89.5849,28.9596,28.3985,6.4251,15.7905,7.83E-08,1721,1731,61,158,C:\raw data\GM11\09-25\FL11269021344.png,177,
2.2547167,-89.5636,28.9443,21.4054,5.9895,14.9193,1.75E-07,790,798,68,130,C:\raw data\GM11\09-25\FL11269021451.png,178,
2.2574572,-89.5622,28.937,18.7297,5.6628,15.0282,1.33E-08,1087,1094,76,115,C:\raw data\GM11\09-25\FL11269021451.png,178,
