time, lon, lat, length, depth, penetration_depth, strength, shot1, shot2, top_sample, bot_sample, file, number,,,,Nshots
19.531191,-89.0132,29.7232,11.1658,0.9801,8.3853,3.73E-09,1036,1040,45,69,C:\raw data\GM11\09-29\FL11272193117.png,9,,,1,4
19.541625,-88.9944,29.6994,5.6675,1.089,10.4544,7.38E-09,164,166,45,73,C:\raw data\GM11\09-29\FL11272193224.png,10,,,1,2
19.583622,-88.9175,29.6013,24.9406,4.2471,14.8104,6.68E-08,697,706,45,103,C:\raw data\GM11\09-29\FL11272193437.png,12,,,1,9
19.588881,-88.9082,29.5889,16.627,1.8513,14.8104,1.16E-08,1266,1272,48,96,C:\raw data\GM11\09-29\FL11272193437.png,12,,,1,6
20.913068,-88.474,29.8454,46.9081,4.5738,22.3245,2.99E-08,284,300,52,161,C:\raw data\GM11\09-29\FL11272205432.png,84,,,1,16
21.341268,-88.4014,29.7488,40.8497,4.2471,23.4135,2.42E-07,534,549,52,98,C:\raw data\GM11\09-29\FL11272212005.png,107,,,1,15
21.404383,-88.4108,29.9161,13.6492,18.4041,29.6208,2.22E-07,1356,1361,190,232,C:\raw data\GM11\09-29\FL11272212325.png,110,,,1,5
21.459824,-88.3777,29.7911,38.0861,16.335,24.1758,2.79E-07,1340,1353,126,261,C:\raw data\GM11\09-29\FL11272212645.png,113,,,1,13
21.596619,-88.3477,29.6994,8.277,4.0293,24.5025,1.53E-07,120,123,68,101,C:\raw data\GM11\09-29\FL11272213538.png,121,,,1,3
22.123931,-88.8354,30.1533,14.0336,3.267,14.9193,6.63E-08,1073,1078,46,117,C:\raw data\GM11\09-29\FL11272220645.png,149,,,1,5
22.124163,-88.8354,30.1533,16.8404,5.9895,14.7015,2.12E-08,1097,1103,62,117,C:\raw data\GM11\09-29\FL11272220645.png,149,,,1,6
22.124413,-88.8363,30.1536,16.8404,5.2272,14.5926,4.71E-08,1124,1130,72,119,C:\raw data\GM11\09-29\FL11272220645.png,149,,,1,6
1.1203064,-88.9884,29.6985,23.5105,0.2178,12.1968,7.77E-09,1666,1674,42,71,C:\raw data\GM11\09-29\FL11273010617.png,158,,,1,8
1.1204453,-88.9878,29.6979,11.7552,0.5445,11.2167,4.30E-09,1683,1687,46,79,C:\raw data\GM11\09-29\FL11273010617.png,158,,,1,4
1.1557758,-88.9208,29.6114,50.2928,-0.2178,13.5036,1.57E-06,1493,1510,31,148,C:\raw data\GM11\09-29\FL11273010830.png,160,keyhole,,1,17
1.2512594,-88.8502,29.3499,17.9022,7.9497,25.047,3.01E-08,1811,1817,99,151,C:\raw data\GM11\09-29\FL11273011404.png,165,,,1,6
1.2512872,-88.8502,29.3499,56.6904,19.9287,24.2847,8.87E-07,1808,1827,172,281,C:\raw data\GM11\09-29\FL11273011404.png,165,,,1,19
1.4230058,-88.5536,29.3669,31.0086,14.9193,24.2847,2.56E-08,359,370,149,222,C:\raw data\GM11\09-29\FL11273012510.png,175,,,1,11
2.3604817,-88.3978,29.8552,11.327,3.3759,25.2648,4.41E-08,1617,1621,64,93,C:\raw data\GM11\09-29\FL11273022044.png,225,,,1,4
2.3696569,-88.4003,29.8807,16.9575,12.9591,27.3339,4.99E-08,607,613,142,191,C:\raw data\GM11\09-29\FL11273022150.png,226,,,1,6
2.3726567,-88.4022,29.889,16.9575,3.7026,13.7214,0.00E+00,931,937,80,153,C:\raw data\GM11\09-29\FL11273022150.png,226,,,1,6
2.3767583,-88.3982,29.8994,31.0888,15.5727,29.7297,1.66E-08,1372,1383,162,202,C:\raw data\GM11\09-29\FL11273022150.png,226,,,1,11
2.4500769,-88.3523,29.725,27.0796,15.246,25.047,6.83E-08,1292,1301,171,226,C:\raw data\GM11\09-29\FL11273022617.png,230,,,1,9
2.4738344,-88.3524,29.6537,38.4763,29.7297,26.6805,           -NaN,1856,1869,289,351,C:\raw data\GM11\09-29\FL11273022724.png,231,,,1,13
2.6382664,-88.3505,29.9376,8.286,0.9801,29.6208,1.52E-07,1621,1624,48,85,C:\raw data\GM11\09-29\FL11273023723.png,240,,,1,3
2.6388592,-88.3522,29.9381,22.0959,2.8314,29.5119,1.76E-07,1682,1690,51,108,C:\raw data\GM11\09-29\FL11273023723.png,240,,,1,8
2.8123089,-88.8562,30.1339,11.2775,3.7026,16.335,2.00E-08,418,422,57,94,C:\raw data\GM11\09-29\FL11273024830.png,250,,,1,4
2.8125406,-88.8571,30.1341,28.1938,0.3267,16.4439,7.47E-08,440,450,38,103,C:\raw data\GM11\09-29\FL11273024830.png,250,,,1,10
2.8126422,-88.8571,30.1341,19.7357,4.4649,16.335,1.80E-07,453,460,57,107,C:\raw data\GM11\09-29\FL11273024830.png,250,,,1,7
2.8128458,-88.858,30.1343,16.9163,2.2869,16.2261,1.59E-07,475,481,46,119,C:\raw data\GM11\09-29\FL11273024830.png,250,,,1,6
2.8192992,-88.8781,30.1386,11.2775,2.7225,15.6816,7.16E-08,1173,1177,53,90,C:\raw data\GM11\09-29\FL11273024830.png,250,,,1,4
2.8228267,-88.8885,30.141,11.2775,-1.6335,14.7015,1.45E-07,1554,1558,28,67,C:\raw data\GM11\09-29\FL11273024830.png,250,,,1,4
2.8240394,-88.8928,30.1422,14.0969,1.3068,14.8104,1.79E-08,1685,1690,50,72,C:\raw data\GM11\09-29\FL11273024830.png,250,,,1,5
2.8255394,-88.8971,30.1434,11.2775,5.2272,14.7015,4.23E-08,1847,1851,79,109,C:\raw data\GM11\09-29\FL11273024830.png,250,,,1,4
