time, lon, lat, length, depth, penetration_depth, strength, shot1, shot2, top_sample, bot_sample, file, number
20.587155,-88.9998,28.5465,27.8744,12.8502,26.0271,2.72E-08,754,764,157,181,C:\raw data\GM11\09-30\FL11273203448.png,61
20.913621,-89.4171,28.9704,57506.2422,-0.7623,6.6429,2.82E-09,669,675,39,69,C:\raw data\GM11\09-30\FL11273205341.png,78
20.914306,-89.4188,28.9704,38337.4961,-1.1979,7.4052,6.04E-09,744,748,35,81,C:\raw data\GM11\09-30\FL11273205341.png,78
20.914908,-89.4214,28.9705,38337.4961,1.3068,7.623,2.82E-09,809,813,37,75,C:\raw data\GM11\09-30\FL11273205341.png,78
21.350783,-89.775,28.0037,14.5485,14.9193,29.6208,1.06E-07,1887,1892,169,199,C:\raw data\GM11\09-30\FL11273211959.png,101
21.351116,-89.7759,28.0037,14.5485,15.0282,29.5119,7.10E-08,1923,1928,171,196,C:\raw data\GM11\09-30\FL11273211959.png,101
21.351598,-89.7777,28.0037,58.1939,13.2858,29.5119,8.58E-08,1967,1987,157,183,C:\raw data\GM11\09-30\FL11273211959.png,101
21.351857,-89.7795,28.0037,5.644,14.0481,29.403,5.29E-08,4,6,158,195,C:\raw data\GM11\09-30\FL11273212106.png,102
21.351884,-89.7795,28.0037,5.644,10.9989,29.403,7.66E-08,7,9,137,160,C:\raw data\GM11\09-30\FL11273212106.png,102
21.35307,-89.7831,28.0038,11.2881,12.9591,29.403,5.05E-08,134,138,155,184,C:\raw data\GM11\09-30\FL11273212106.png,102
21.353347,-89.784,28.0038,8.466,13.2858,29.5119,2.04E-08,165,168,160,173,C:\raw data\GM11\09-30\FL11273212106.png,102
