time, lon, lat, depth, strength, file, number, shot, depol, average, ratio, contrast
       19.525659,    -88.3022,     30.1276,     -5.04,     1.423e-007,F:\Fish_GM\10-04\FL11277193116.png,  17, 462,     0.087,     0.073,     1.197,     1.412
       19.525715,    -88.3022,     30.1267,     -2.77,     2.876e-007,F:\Fish_GM\10-04\FL11277193116.png,  17, 468,     0.074,     0.060,     1.241,     1.578
       19.525771,    -88.3022,     30.1267,     -1.34,     3.148e-007,F:\Fish_GM\10-04\FL11277193116.png,  17, 474,     0.062,     0.038,     1.623,     1.294
       19.525872,    -88.3022,     30.1267,     -3.85,     1.467e-007,F:\Fish_GM\10-04\FL11277193116.png,  17, 485,     0.069,     0.061,     1.137,     1.294
       19.526224,    -88.3023,     30.1259,     -3.85,     1.427e-007,F:\Fish_GM\10-04\FL11277193116.png,  17, 523,     0.071,     0.061,     1.166,     1.341
       19.527141,    -88.3022,     30.1234,     -3.13,     2.134e-007,F:\Fish_GM\10-04\FL11277193116.png,  17, 622,     0.080,     0.065,     1.225,     1.548
       19.527280,    -88.3022,     30.1226,     -2.29,     2.396e-007,F:\Fish_GM\10-04\FL11277193116.png,  17, 637,     0.069,     0.059,     1.175,     1.406
       19.530464,    -88.3016,     30.1136,     -2.17,     3.134e-007,F:\Fish_GM\10-04\FL11277193116.png,  17, 981,     0.066,     0.052,     1.277,     1.735
       19.533770,    -88.3006,     30.1038,     -1.22,     5.512e-007,F:\Fish_GM\10-04\FL11277193116.png,  17,1338,     0.081,     0.043,     1.892,     2.039
       19.539742,    -88.2985,     30.0867,     -2.65,     2.936e-007,F:\Fish_GM\10-04\FL11277193116.png,  17,1983,     0.081,     0.062,     1.291,     1.598
       19.540593,    -88.2981,     30.0834,     -2.17,     3.356e-007,F:\Fish_GM\10-04\FL11277193223.png,  18,  75,     0.069,     0.058,     1.196,     1.373
       19.540658,    -88.2981,     30.0834,     -1.34,     3.392e-007,F:\Fish_GM\10-04\FL11277193223.png,  18,  82,     0.061,     0.047,     1.304,     1.277
       19.540714,    -88.2980,     30.0826,     -1.34,     3.685e-007,F:\Fish_GM\10-04\FL11277193223.png,  18,  88,     0.066,     0.045,     1.470,     1.310
       19.541686,    -88.2977,     30.0802,     -1.93,     3.365e-007,F:\Fish_GM\10-04\FL11277193223.png,  18, 193,     0.075,     0.061,     1.236,     1.392
       19.540408,    -88.2981,     30.0834,     -2.89,     2.190e-007,F:\Fish_GM\10-04\FL11277193223.png,  18,  55,     0.075,     0.065,     1.145,     1.352
       19.540316,    -88.2983,     30.0851,     -1.82,     3.038e-007,F:\Fish_GM\10-04\FL11277193223.png,  18,  45,     0.066,     0.050,     1.332,     1.276
       19.545195,    -88.2970,     30.0704,     -3.49,     2.220e-007,F:\Fish_GM\10-04\FL11277193223.png,  18, 572,     0.088,     0.081,     1.094,     1.301
       19.545288,    -88.2969,     30.0696,     -2.05,     3.055e-007,F:\Fish_GM\10-04\FL11277193223.png,  18, 582,     0.073,     0.059,     1.244,     1.282
       19.545001,    -88.2970,     30.0704,     -3.37,     2.195e-007,F:\Fish_GM\10-04\FL11277193223.png,  18, 551,     0.085,     0.079,     1.077,     1.288
       19.551583,    -88.2968,     30.0515,     -4.45,     1.395e-007,F:\Fish_GM\10-04\FL11277193223.png,  18,1262,     0.084,     0.066,     1.269,     1.513
       19.551833,    -88.2968,     30.0506,     -4.68,     1.158e-007,F:\Fish_GM\10-04\FL11277193223.png,  18,1289,     0.073,     0.066,     1.095,     1.245
       19.551704,    -88.2968,     30.0506,     -6.72,     7.495e-008,F:\Fish_GM\10-04\FL11277193223.png,  18,1275,     0.081,     0.077,     1.064,     1.279
       19.552379,    -88.2969,     30.0490,     -2.65,     1.821e-007,F:\Fish_GM\10-04\FL11277193223.png,  18,1348,     0.071,     0.061,     1.164,     1.270
       19.556018,    -88.2976,     30.0375,     -2.17,     2.506e-007,F:\Fish_GM\10-04\FL11277193223.png,  18,1741,     0.070,     0.061,     1.138,     1.361
