time, lon1, lat1, depth1, lon2, lat2, depth2, file, number, shot1, shot2
       19.455521,      -88.81678,       29.70603,       -7.67391,      -88.77780,       29.66578,       -9.22826,K:\raw data\GM11\09-26\FL11269192715.png,   11,  128, 1988
       19.472946,      -88.77780,       29.66578,       -8.86957,      -88.74730,       29.63438,      -12.09783,K:\raw data\GM11\09-26\FL11269192821.png,   12,   10, 1472
       19.491814,      -88.73548,       29.62213,      -10.78261,      -88.71504,       29.60097,      -13.53261,K:\raw data\GM11\09-26\FL11269192928.png,   13,   48, 1024
       19.501536,      -88.71381,       29.59969,      -12.45652,      -88.71070,       29.59650,      -12.45652,K:\raw data\GM11\09-26\FL11269192928.png,   13, 1098, 1242
       19.504323,      -88.70759,       29.59331,      -11.97826,      -88.69765,       29.58307,      -14.84783,K:\raw data\GM11\09-26\FL11269192928.png,   13, 1399, 1872
       19.510443,      -88.69392,       29.57923,      -11.38043,      -88.68894,       29.57410,      -12.45652,K:\raw data\GM11\09-26\FL11269193035.png,   14,   60,  276
       19.523590,      -88.66472,       29.54903,      -15.44565,      -88.65353,       29.53751,      -10.18478,K:\raw data\GM11\09-26\FL11269193035.png,   14, 1480, 1996
       19.612065,      -88.46477,       29.34272,      -12.21739,      -88.45123,       29.32835,      -14.01087,K:\raw data\GM11\09-26\FL11269193608.png,   19, 1036, 1704
       19.635322,      -88.41069,       29.28988,      -16.52174,      -88.39993,       29.28261,      -16.88043,K:\raw data\GM11\09-26\FL11269193715.png,   20, 1548, 1984
       19.645655,      -88.38195,       29.27094,      -10.30435,      -88.36391,       29.25950,       -4.44565,K:\raw data\GM11\09-26\FL11269193821.png,   21,  664, 1377
       19.765424,      -88.34770,       28.94368,      -14.01087,      -88.34772,       28.93408,      -10.90217,K:\raw data\GM11\09-26\FL11269194501.png,   27, 1600, 1978
       19.770294,      -88.34772,       28.93009,       -9.10870,      -88.33816,       28.90274,       -6.83696,K:\raw data\GM11\09-26\FL11269194608.png,   28,  126, 1194
       19.798958,      -88.36515,       28.89177,       -5.40217,      -88.36383,       28.91414,       -7.55435,K:\raw data\GM11\09-26\FL11269194715.png,   29, 1222, 1986
       19.806217,      -88.36383,       28.91414,       -8.39130,      -88.36359,       28.93121,      -14.01087,K:\raw data\GM11\09-26\FL11269194821.png,   30,    6,  638
       19.965427,      -88.37723,       29.07008,       -6.95652,      -88.37838,       29.05175,       -5.04348,K:\raw data\GM11\09-26\FL11269195715.png,   38, 1202, 1901
       20.114175,      -88.39143,       29.13268,      -17.59783,      -88.39119,       29.14881,      -14.60870,K:\raw data\GM11\09-26\FL11269200608.png,   46, 1268, 1903
       20.118027,      -88.39125,       29.14343,       -6.95652,      -88.39118,       29.15112,       -5.16304,K:\raw data\GM11\09-26\FL11269200608.png,   46, 1684, 1996
       20.177041,      -88.41362,       29.18262,       -5.88043,      -88.41282,       29.16036,       -6.35870,K:\raw data\GM11\09-26\FL11269201035.png,   50,   58,  900
       20.185346,      -88.41260,       29.15879,      -17.00000,      -88.41007,       29.14148,      -17.95652,K:\raw data\GM11\09-26\FL11269201035.png,   50,  955, 1625
       20.363990,      -88.41869,       29.13115,      -16.40217,      -88.41812,       29.15676,      -17.11957,K:\raw data\GM11\09-26\FL11269202141.png,   60,  250, 1212
       20.375174,      -88.41806,       29.16317,       -8.98913,      -88.41791,       29.17840,       -8.86957,K:\raw data\GM11\09-26\FL11269202141.png,   60, 1458, 1996
       20.403542,      -88.41114,       29.22295,      -10.66304,      -88.43523,       29.19312,      -11.97826,K:\raw data\GM11\09-26\FL11269202355.png,   62,  522, 1990
       20.417726,      -88.43546,       29.19236,      -12.33696,      -88.43510,       29.14759,      -17.00000,K:\raw data\GM11\09-26\FL11269202501.png,   63,   54, 1722
       20.441012,      -88.43382,       29.12448,       -6.00000,      -88.43306,       29.11254,       -4.32609,K:\raw data\GM11\09-26\FL11269202608.png,   64,  569, 1034
       20.450668,      -88.43202,       29.09746,      -18.19565,      -88.43137,       29.08793,      -16.64130,K:\raw data\GM11\09-26\FL11269202608.png,   64, 1612, 1978
       20.529348,      -88.42368,       28.88112,       -7.43478,      -88.44615,       28.88252,      -10.78261,K:\raw data\GM11\09-26\FL11269203141.png,   69,  110,  934
